[0/501] 0초 0/100 pos:0m, v:0m/s, Ek:0.0, p:0N
[1/501] 0초 1/100 pos:0.001m, v:0.1m/s, Ek:0.005000000000000001, p:0.1N
[2/501] 0초 2/100 pos:0.003m, v:0.2m/s, Ek:0.020000000000000004, p:0.2N
[3/501] 0초 3/100 pos:0.006m, v:0.30000000000000004m/s, Ek:0.04500000000000001, p:0.30000000000000004N
[4/501] 0초 4/100 pos:0.01m, v:0.4m/s, Ek:0.08000000000000002, p:0.4N
[5/501] 0초 5/100 pos:0.015m, v:0.5m/s, Ek:0.125, p:0.5N
[6/501] 0초 6/100 pos:0.020999999999999998m, v:0.6m/s, Ek:0.18, p:0.6N
[7/501] 0초 7/100 pos:0.027999999999999997m, v:0.7m/s, Ek:0.24499999999999997, p:0.7N
[8/501] 0초 8/100 pos:0.036m, v:0.7999999999999999m/s, Ek:0.31999999999999995, p:0.7999999999999999N
[9/501] 0초 9/100 pos:0.045m, v:0.8999999999999999m/s, Ek:0.4049999999999999, p:0.8999999999999999N
[10/501] 0초 10/100 pos:0.05499999999999999m, v:0.9999999999999999m/s, Ek:0.4999999999999999, p:0.9999999999999999N
[11/501] 0초 11/100 pos:0.06599999999999999m, v:1.0999999999999999m/s, Ek:0.6049999999999999, p:1.0999999999999999N
[12/501] 0초 12/100 pos:0.07799999999999999m, v:1.2m/s, Ek:0.72, p:1.2N
[13/501] 0초 13/100 pos:0.09099999999999998m, v:1.3m/s, Ek:0.8450000000000001, p:1.3N
[14/501] 0초 14/100 pos:0.10499999999999998m, v:1.4000000000000001m/s, Ek:0.9800000000000002, p:1.4000000000000001N
[15/501] 0초 15/100 pos:0.11999999999999998m, v:1.5000000000000002m/s, Ek:1.1250000000000004, p:1.5000000000000002N
[16/501] 0초 16/100 pos:0.13599999999999998m, v:1.6000000000000003m/s, Ek:1.2800000000000005, p:1.6000000000000003N
[17/501] 0초 17/100 pos:0.153m, v:1.7000000000000004m/s, Ek:1.4450000000000007, p:1.7000000000000004N
[18/501] 0초 18/100 pos:0.171m, v:1.8000000000000005m/s, Ek:1.6200000000000008, p:1.8000000000000005N
[19/501] 0초 19/100 pos:0.19000000000000003m, v:1.9000000000000006m/s, Ek:1.805000000000001, p:1.9000000000000006N
[20/501] 0초 20/100 pos:0.21000000000000002m, v:2.0000000000000004m/s, Ek:2.000000000000001, p:2.0000000000000004N
[21/501] 0초 21/100 pos:0.23100000000000004m, v:2.1000000000000005m/s, Ek:2.205000000000001, p:2.1000000000000005N
[22/501] 0초 22/100 pos:0.25300000000000006m, v:2.2000000000000006m/s, Ek:2.4200000000000013, p:2.2000000000000006N
[23/501] 0초 23/100 pos:0.2760000000000001m, v:2.3000000000000007m/s, Ek:2.645000000000002, p:2.3000000000000007N
[24/501] 0초 24/100 pos:0.3000000000000001m, v:2.400000000000001m/s, Ek:2.880000000000002, p:2.400000000000001N
[25/501] 0초 25/100 pos:0.3250000000000001m, v:2.500000000000001m/s, Ek:3.125000000000002, p:2.500000000000001N
[26/501] 0초 26/100 pos:0.35100000000000015m, v:2.600000000000001m/s, Ek:3.3800000000000026, p:2.600000000000001N
[27/501] 0초 27/100 pos:0.37800000000000017m, v:2.700000000000001m/s, Ek:3.6450000000000027, p:2.700000000000001N
[28/501] 0초 28/100 pos:0.4060000000000002m, v:2.800000000000001m/s, Ek:3.920000000000003, p:2.800000000000001N
[29/501] 0초 29/100 pos:0.4350000000000002m, v:2.9000000000000012m/s, Ek:4.205000000000004, p:2.9000000000000012N
[30/501] 0초 30/100 pos:0.46500000000000025m, v:3.0000000000000013m/s, Ek:4.5000000000000036, p:3.0000000000000013N
[31/501] 0초 31/100 pos:0.4960000000000003m, v:3.1000000000000014m/s, Ek:4.805000000000004, p:3.1000000000000014N
[32/501] 0초 32/100 pos:0.5280000000000002m, v:3.2000000000000015m/s, Ek:5.1200000000000045, p:3.2000000000000015N
[33/501] 0초 33/100 pos:0.5610000000000003m, v:3.3000000000000016m/s, Ek:5.445000000000006, p:3.3000000000000016N
[34/501] 0초 34/100 pos:0.5950000000000003m, v:3.4000000000000017m/s, Ek:5.780000000000006, p:3.4000000000000017N
[35/501] 0초 35/100 pos:0.6300000000000003m, v:3.5000000000000018m/s, Ek:6.125000000000006, p:3.5000000000000018N
[36/501] 0초 36/100 pos:0.6660000000000004m, v:3.600000000000002m/s, Ek:6.480000000000007, p:3.600000000000002N
[37/501] 0초 37/100 pos:0.7030000000000004m, v:3.700000000000002m/s, Ek:6.845000000000007, p:3.700000000000002N
[38/501] 0초 38/100 pos:0.7410000000000004m, v:3.800000000000002m/s, Ek:7.220000000000008, p:3.800000000000002N
[39/501] 0초 39/100 pos:0.7800000000000005m, v:3.900000000000002m/s, Ek:7.605000000000008, p:3.900000000000002N
[40/501] 0초 40/100 pos:0.8200000000000005m, v:4.000000000000002m/s, Ek:8.000000000000007, p:4.000000000000002N
[41/501] 0초 41/100 pos:0.8610000000000005m, v:4.100000000000001m/s, Ek:8.405000000000006, p:4.100000000000001N
[42/501] 0초 42/100 pos:0.9030000000000006m, v:4.200000000000001m/s, Ek:8.820000000000004, p:4.200000000000001N
[43/501] 0초 43/100 pos:0.9460000000000006m, v:4.300000000000001m/s, Ek:9.245000000000003, p:4.300000000000001N
[44/501] 0초 44/100 pos:0.9900000000000007m, v:4.4m/s, Ek:9.680000000000001, p:4.4N
[45/501] 0초 45/100 pos:1.0350000000000006m, v:4.5m/s, Ek:10.125, p:4.5N
[46/501] 0초 46/100 pos:1.0810000000000006m, v:4.6m/s, Ek:10.579999999999998, p:4.6N
[47/501] 0초 47/100 pos:1.1280000000000006m, v:4.699999999999999m/s, Ek:11.044999999999996, p:4.699999999999999N
[48/501] 0초 48/100 pos:1.1760000000000006m, v:4.799999999999999m/s, Ek:11.519999999999994, p:4.799999999999999N
[49/501] 0초 49/100 pos:1.2250000000000005m, v:4.899999999999999m/s, Ek:12.004999999999994, p:4.899999999999999N
[50/501] 0초 50/100 pos:1.2750000000000006m, v:4.999999999999998m/s, Ek:12.499999999999991, p:4.999999999999998N
[51/501] 0초 51/100 pos:1.3260000000000005m, v:5.099999999999998m/s, Ek:13.004999999999988, p:5.099999999999998N
[52/501] 0초 52/100 pos:1.3780000000000006m, v:5.1999999999999975m/s, Ek:13.519999999999987, p:5.1999999999999975N
[53/501] 0초 53/100 pos:1.4310000000000005m, v:5.299999999999997m/s, Ek:14.044999999999986, p:5.299999999999997N
[54/501] 0초 54/100 pos:1.4850000000000005m, v:5.399999999999997m/s, Ek:14.579999999999982, p:5.399999999999997N
[55/501] 0초 55/100 pos:1.5400000000000005m, v:5.4999999999999964m/s, Ek:15.12499999999998, p:5.4999999999999964N
[56/501] 0초 56/100 pos:1.5960000000000005m, v:5.599999999999996m/s, Ek:15.679999999999978, p:5.599999999999996N
[57/501] 0초 57/100 pos:1.6530000000000005m, v:5.699999999999996m/s, Ek:16.244999999999976, p:5.699999999999996N
[58/501] 0초 58/100 pos:1.7110000000000005m, v:5.799999999999995m/s, Ek:16.819999999999972, p:5.799999999999995N
[59/501] 0초 59/100 pos:1.7700000000000005m, v:5.899999999999995m/s, Ek:17.40499999999997, p:5.899999999999995N
[60/501] 0초 60/100 pos:1.8300000000000005m, v:5.999999999999995m/s, Ek:17.999999999999968, p:5.999999999999995N
[61/501] 0초 61/100 pos:1.8910000000000005m, v:6.099999999999994m/s, Ek:18.604999999999965, p:6.099999999999994N
[62/501] 0초 62/100 pos:1.9530000000000003m, v:6.199999999999994m/s, Ek:19.219999999999963, p:6.199999999999994N
[63/501] 0초 63/100 pos:2.016m, v:6.299999999999994m/s, Ek:19.84499999999996, p:6.299999999999994N
[64/501] 0초 64/100 pos:2.08m, v:6.399999999999993m/s, Ek:20.479999999999958, p:6.399999999999993N
[65/501] 0초 65/100 pos:2.145m, v:6.499999999999993m/s, Ek:21.124999999999954, p:6.499999999999993N
[66/501] 0초 66/100 pos:2.211m, v:6.5999999999999925m/s, Ek:21.77999999999995, p:6.5999999999999925N
[67/501] 0초 67/100 pos:2.2779999999999996m, v:6.699999999999992m/s, Ek:22.444999999999947, p:6.699999999999992N
[68/501] 0초 68/100 pos:2.3459999999999996m, v:6.799999999999992m/s, Ek:23.119999999999944, p:6.799999999999992N
[69/501] 0초 69/100 pos:2.4149999999999996m, v:6.8999999999999915m/s, Ek:23.804999999999943, p:6.8999999999999915N
[70/501] 0초 70/100 pos:2.4849999999999994m, v:6.999999999999991m/s, Ek:24.499999999999936, p:6.999999999999991N
[71/501] 0초 71/100 pos:2.555999999999999m, v:7.099999999999991m/s, Ek:25.204999999999934, p:7.099999999999991N
[72/501] 0초 72/100 pos:2.6279999999999992m, v:7.19999999999999m/s, Ek:25.91999999999993, p:7.19999999999999N
[73/501] 0초 73/100 pos:2.700999999999999m, v:7.29999999999999m/s, Ek:26.64499999999993, p:7.29999999999999N
[74/501] 0초 74/100 pos:2.774999999999999m, v:7.39999999999999m/s, Ek:27.379999999999924, p:7.39999999999999N
[75/501] 0초 75/100 pos:2.8499999999999988m, v:7.499999999999989m/s, Ek:28.124999999999922, p:7.499999999999989N
[76/501] 0초 76/100 pos:2.925999999999999m, v:7.599999999999989m/s, Ek:28.879999999999917, p:7.599999999999989N
[77/501] 0초 77/100 pos:3.002999999999999m, v:7.699999999999989m/s, Ek:29.64499999999991, p:7.699999999999989N
[78/501] 0초 78/100 pos:3.0809999999999986m, v:7.799999999999988m/s, Ek:30.41999999999991, p:7.799999999999988N
[79/501] 0초 79/100 pos:3.1599999999999984m, v:7.899999999999988m/s, Ek:31.204999999999906, p:7.899999999999988N
[80/501] 0초 80/100 pos:3.2399999999999984m, v:7.999999999999988m/s, Ek:31.9999999999999, p:7.999999999999988N
[81/501] 0초 81/100 pos:3.3209999999999984m, v:8.099999999999987m/s, Ek:32.80499999999989, p:8.099999999999987N
[82/501] 0초 82/100 pos:3.4029999999999982m, v:8.199999999999987m/s, Ek:33.61999999999989, p:8.199999999999987N
[83/501] 0초 83/100 pos:3.485999999999998m, v:8.299999999999986m/s, Ek:34.44499999999989, p:8.299999999999986N
[84/501] 0초 84/100 pos:3.569999999999998m, v:8.399999999999986m/s, Ek:35.27999999999988, p:8.399999999999986N
[85/501] 0초 85/100 pos:3.654999999999998m, v:8.499999999999986m/s, Ek:36.12499999999988, p:8.499999999999986N
[86/501] 0초 86/100 pos:3.740999999999998m, v:8.599999999999985m/s, Ek:36.979999999999876, p:8.599999999999985N
